Name,Category,Type,RGBController,VID,PID,SVID,SPID,Save,Direct,Effects,Comments
"ASUS ROG Strix GTX 1050 TI O4G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1C82","1043","85D1","❌","✔️","✔️",""
"ASUS GTX 1060 Strix 6G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1C03","1043","85A4","❌","✔️","✔️",""
"ASUS GTX 1060 Strix","GPU","SMBus","Asus Aura GPU","10DE","1C03","1043","85AC","❌","✔️","✔️",""
"ASUS GTX 1070 Strix Gaming","GPU","SMBus","Asus Aura GPU","10DE","1B81","1043","8598","❌","✔️","✔️",""
"ASUS GTX 1070 Strix OC","GPU","SMBus","Asus Aura GPU","10DE","1B81","1043","8599","❌","✔️","✔️",""
"ASUS ROG Strix GTX1070 Ti 8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1B82","1043","861D","❌","✔️","✔️",""
"ASUS ROG Strix GTX1070 Ti A8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1B82","1043","861E","❌","✔️","✔️",""
"ASUS GTX 1080 Strix OC","GPU","SMBus","Asus Aura GPU","10DE","1B80","1043","8592","❌","✔️","✔️",""
"ASUS ROG Strix GTX1080 A8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1B80","1043","85AA","❌","✔️","✔️",""
"ASUS ROG Strix GTX1080 O8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1B80","1043","85F9","❌","✔️","✔️",""
"ASUS ROG Strix GTX1080 O8G 11Gbps","GPU","SMBus","Asus Aura GPU","10DE","1B80","1043","85E8","❌","✔️","✔️",""
"ASUS ROG Strix GTX1080 Ti Gaming","GPU","SMBus","Asus Aura GPU","10DE","1B06","1043","85EB","❌","✔️","✔️",""
"ASUS ROG Strix GTX1080 Ti 11G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1B06","1043","85F1","❌","✔️","✔️",""
"ASUS ROG Strix GTX1080 Ti O11G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1B06","1043","85EA","❌","✔️","✔️",""
"ASUS ROG Strix GTX1080 Ti O11G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1B06","1043","85E4","❌","✔️","✔️",""
"ASUS ROG Strix GTX 1650S OC 4G","GPU","SMBus","Asus Aura GPU","10DE","2187","1043","874F","❌","✔️","✔️",""
"ASUS ROG Strix GTX 1660S O6G Gaming","GPU","SMBus","Asus Aura GPU","10DE","21C4","1043","8752","❌","✔️","✔️",""
"ASUS ROG GTX 1660 Ti OC 6G","GPU","SMBus","Asus Aura GPU","10DE","2182","1043","86A5","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2060 EVO Gaming 6G","GPU","SMBus","Asus Aura GPU","10DE","1F08","1043","86D3","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2060 O6G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1F08","1043","868E","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2060 O6G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1F08","1043","86D2","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2060 O6G EVO Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E89","1043","8775","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2060S 8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1F06","1043","8730","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2060S A8G EVO Gaming","GPU","SMBus","Asus Aura GPU","10DE","1F47","1043","8703","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2060S O8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1F06","1043","86FB","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2060S A8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1F06","1043","86FC","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2070 A8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1F07","1043","8671","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2070 O8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1F07","1043","8670","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2070S A8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1EC7","1043","86FF","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2070S A8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E84","1043","8728","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2070S A8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E84","1043","8706","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2070S O8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E84","1043","8729","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2070S 8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E84","1043","8707","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2070S O8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E84","1043","8727","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2080 8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E82","1043","867F","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2080 O8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E87","1043","865F","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2080 O8G V2 Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E87","1043","8661","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2080S A8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E81","1043","8712","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2080S O8G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E81","1043","8711","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2080S O8G White","GPU","SMBus","Asus Aura GPU","10DE","1E81","1043","876B","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2080 Ti 11G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E04","1043","8687","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2080 Ti 11G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E07","1043","866C","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2080 Ti A11G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E07","1043","866B","❌","✔️","✔️",""
"ASUS ROG STRIX RTX 2080 Ti O11G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1E07","1043","866A","❌","✔️","✔️",""
"ASUS TUF RTX 3060 Ti 8G Gaming OC","GPU","SMBus","Asus Aura GPU","10DE","2489","1043","87C6","❌","✔️","✔️",""
"ASUS AREZ Strix RX Vega 56 O8G","GPU","SMBus","Asus Aura GPU","1002","687F","1043","0555","❌","✔️","✔️",""
"ASUS Vega 64 Strix","GPU","SMBus","Asus Aura GPU","1002","687F","1043","04C4","❌","✔️","✔️",""
"ASUS RX 5600XT Strix O6G Gaming","GPU","SMBus","Asus Aura GPU","1002","731F","1043","04EC","❌","✔️","✔️",""
"ASUS RX 5700XT Strix Gaming OC","GPU","SMBus","Asus Aura GPU","1002","731F","1043","04E2","❌","✔️","✔️",""
"ASUS RX 5700XT Strix 08G Gaming","GPU","SMBus","Asus Aura GPU","1002","731F","1043","05C1","❌","✔️","✔️",""
"ASUS ROG STRIX RX470 O4G Gaming","GPU","SMBus","Asus Aura GPU","1002","67DF","1043","04B0","❌","✔️","✔️",""
"ASUS ROG STRIX RX480 Gaming OC","GPU","SMBus","Asus Aura GPU","1002","67DF","1043","04FB","❌","✔️","✔️",""
"ASUS ROG STRIX RX560 Gaming","GPU","SMBus","Asus Aura GPU","1002","67FF","1043","04BC","❌","✔️","✔️",""
"ASUS RX 570 Strix O4G Gaming OC","GPU","SMBus","Asus Aura GPU","1002","67DF","1043","04C2","❌","✔️","✔️",""
"ASUS RX 570 Strix O8G Gaming OC","GPU","SMBus","Asus Aura GPU","1002","67DF","1043","0588","❌","✔️","✔️",""
"ASUS RX 580 Strix Gaming OC","GPU","SMBus","Asus Aura GPU","1002","67DF","1043","0517","❌","✔️","✔️",""
"ASUS RX 580 Strix Gaming TOP","GPU","SMBus","Asus Aura GPU","1002","67DF","1043","0519","❌","✔️","✔️",""
"ASUS ROG Throne","HeadsetStand","USB","Asus Aura Headset Stand","0B05","18D9","","","✔️","✔️","✔️",""
"ASUS ROG Throne QI","HeadsetStand","USB","Asus Aura Headset Stand","0B05","18C5","","","✔️","✔️","✔️",""
"ASUS ROG Throne QI GUNDAM","HeadsetStand","USB","Asus Aura Headset Stand","0B05","1994","","","✔️","✔️","✔️",""
"ASUS ROG Strix Flare","Keyboard","USB","Asus Aura Keyboard","0B05","1875","","","❌","✔️","❌",""
"ASUS ROG Strix Flare PNK LTD","Keyboard","USB","Asus Aura Keyboard","0B05","18CF","","","❌","✔️","❌",""
"ASUS ROG Strix Flare CoD Black Ops 4 Edition","Keyboard","USB","Asus Aura Keyboard","0B05","18AF","","","❌","✔️","❌",""
"ASUS ROG Strix Scope","Keyboard","USB","Asus Aura Keyboard","0B05","18F8","","","❌","✔️","❌",""
"ASUS ROG Strix Scope RX","Keyboard","USB","Asus Aura Keyboard","0B05","1951","","","❌","✔️","❌",""
"ASUS ROG Strix Scope TKL","Keyboard","USB","Asus Aura Keyboard","0B05","190C","","","❌","✔️","❌",""
"ASUS ROG Strix Scope RX TKL Wireless Deluxe","Keyboard","USB","Asus Aura Keyboard","0B05","1A05","","","❌","✔️","❌",""
"ASUS ROG Strix Scope TKL PNK LTD","Keyboard","USB","Asus Aura Keyboard","0B05","1954","","","❌","✔️","❌",""
"ASUS ROG Strix XG27AQ","LEDStrip","USB","Asus Aura Monitor","0B05","198C","","","❌","✔️","❌",""
"ASUS ROG Strix XG27AQM","LEDStrip","USB","Asus Aura Monitor","0B05","19BB","","","❌","✔️","❌",""
"ASUS ROG Strix XG279Q","LEDStrip","USB","Asus Aura Monitor","0B05","1919","","","❌","✔️","❌",""
"ASUS ROG Strix XG27W","LEDStrip","USB","Asus Aura Monitor","0B05","1933","","","❌","✔️","❌",""
"ASUS ROG PG32UQ","LEDStrip","USB","Asus Aura Monitor","0B05","19B9","","","❌","✔️","❌",""
"ASUS ROG Gladius II Core","Mouse","USB","Asus Aura Mouse","0B05","18DD","","","✔️","✔️","✔️",""
"ASUS ROG Gladius II","Mouse","USB","Asus Aura Mouse","0B05","1845","","","✔️","✔️","✔️",""
"ASUS ROG Gladius II Origin","Mouse","USB","Asus Aura Mouse","0B05","1877","","","✔️","✔️","✔️",""
"ASUS ROG Gladius II Origin PNK LTD","Mouse","USB","Asus Aura Mouse","0B05","18CD","","","✔️","✔️","✔️",""
"ASUS ROG Gladius II Origin COD","Mouse","USB","Asus Aura Mouse","0B05","18B1","","","✔️","✔️","✔️",""
"ASUS ROG Gladius II Wireless","Mouse","USB","Asus Aura Mouse","0B05","189E","","","✔️","✔️","✔️",""
"ASUS ROG Gladius II Wireless","Mouse","USB","Asus Aura Mouse","0B05","18A0","","","✔️","✔️","✔️",""
"ASUS ROG Gladius III","Mouse","USB","Asus Aura Mouse","0B05","197B","","","✔️","✔️","✔️",""
"ASUS ROG Gladius III Wireless USB","Mouse","USB","Asus Aura Mouse","0B05","197D","","","✔️","✔️","✔️",""
"ASUS ROG Gladius III Wireless 2.4Ghz","Mouse","USB","Asus Aura Mouse","0B05","197F","","","✔️","✔️","✔️",""
"ASUS ROG Gladius III Wireless Bluetooth","Mouse","USB","Asus Aura Mouse","0B05","1981","","","✔️","✔️","✔️",""
"ASUS ROG Chakram (Wireless)","Mouse","USB","Asus Aura Mouse","0B05","18E5","","","✔️","✔️","✔️",""
"Asus ROG Chakram (Wired)","Mouse","USB","Asus Aura Mouse","0B05","18E3","","","✔️","✔️","✔️",""
"Asus ROG Chakram Core","Mouse","USB","Asus Aura Mouse","0B05","1958","","","✔️","✔️","✔️",""
"Asus ROG Chakram X USB","Mouse","USB","Asus Aura Mouse","0B05","1A18","","","✔️","✔️","✔️",""
"Asus ROG Chakram X 2.4GHz","Mouse","USB","Asus Aura Mouse","0B05","1A1A","","","✔️","✔️","✔️",""
"Asus ROG Spatha X USB","Mouse","USB","Asus Aura Mouse","0B05","1977","","","✔️","✔️","✔️",""
"Asus ROG Spatha X 2.4GHz","Mouse","USB","Asus Aura Mouse","0B05","1979","","","✔️","✔️","✔️",""
"ASUS ROG Pugio","Mouse","USB","Asus Aura Mouse","0B05","1846","","","✔️","✔️","✔️",""
"ASUS ROG Pugio II (Wired)","Mouse","USB","Asus Aura Mouse","0B05","1906","","","✔️","✔️","✔️",""
"ASUS ROG Pugio II (Wireless)","Mouse","USB","Asus Aura Mouse","0B05","1908","","","✔️","✔️","✔️",""
"ASUS ROG Strix Impact","Mouse","USB","Asus Aura Mouse","0B05","1847","","","✔️","✔️","✔️",""
"ASUS ROG Strix Impact II","Mouse","USB","Asus Aura Mouse","0B05","18E1","","","✔️","✔️","✔️",""
"ASUS ROG Strix Impact II Gundam","Mouse","USB","Asus Aura Mouse","0B05","189E","","","✔️","✔️","✔️",""
"ASUS ROG Strix Impact II Electro Punk","Mouse","USB","Asus Aura Mouse","0B05","1956","","","✔️","✔️","✔️",""
"ASUS ROG Strix Impact II Moonlight White","Mouse","USB","Asus Aura Mouse","0B05","19D2","","","✔️","✔️","✔️",""
"ASUS ROG Strix Impact II Wireless USB","Mouse","USB","Asus Aura Mouse","0B05","1947","","","✔️","✔️","✔️",""
"ASUS ROG Strix Impact II Wireless 2.4 Ghz","Mouse","USB","Asus Aura Mouse","0B05","1949","","","✔️","✔️","✔️",""
"ASUS ROG Keris","Mouse","USB","Asus Aura Mouse","0B05","195C","","","✔️","✔️","✔️",""
"ASUS ROG Keris Wireless USB","Mouse","USB","Asus Aura Mouse","0B05","195E","","","✔️","✔️","✔️",""
"ASUS ROG Keris Wireless 2.4Ghz","Mouse","USB","Asus Aura Mouse","0B05","1960","","","✔️","✔️","✔️",""
"ASUS ROG Keris Wireless Bluetooth","Mouse","USB","Asus Aura Mouse","0B05","1962","","","✔️","✔️","✔️",""
"ASUS TUF Gaming M3","Mouse","USB","Asus Aura Mouse","0B05","1910","","","✔️","✔️","✔️",""
"ASUS TUF Gaming M5","Mouse","USB","Asus Aura Mouse","0B05","1898","","","✔️","✔️","✔️",""
"ASUS ROG Balteus","Mousemat","USB","Asus Aura Mousemat","0B05","1891","","","✔️","✔️","✔️",""
"ASUS ROG Balteus Qi","Mousemat","USB","Asus Aura Mousemat","0B05","1890","","","✔️","✔️","✔️",""
"ASUS ROG Balteus","Cooler","USB","Asus Aura Ryuo AIO ","0B05","1891","","","✔️","✔️","✔️",""
"ASUS ROG Balteus Qi","Cooler","USB","Asus Aura Ryuo AIO ","0B05","1890","","","✔️","✔️","✔️",""
"ASUS ROG Strix Evolve","Mouse","USB","Asus Aura Strix Evolve","0B05","185B","","","✔️","✔️","✔️",""
"ASUS ROG Claymore","Keyboard","USB","Asus Aura TUF Keyboard","0B05","184D","","","✔️","✔️","✔️",""
"ASUS ROG Falchion (Wired)","Keyboard","USB","Asus Aura TUF Keyboard","0B05","193C","","","✔️","✔️","✔️",""
"ASUS ROG Falchion (Wireless)","Keyboard","USB","Asus Aura TUF Keyboard","0B05","193E","","","✔️","✔️","✔️",""
"ASUS TUF Gaming K1","Keyboard","USB","Asus Aura TUF Keyboard","0B05","1945","","","✔️","✔️","✔️",""
"ASUS TUF Gaming K3","Keyboard","USB","Asus Aura TUF Keyboard","0B05","194B","","","✔️","✔️","✔️",""
"ASUS TUF Gaming K5","Keyboard","USB","Asus Aura TUF Keyboard","0B05","1899","","","✔️","✔️","✔️",""
"ASUS TUF Gaming K7","Keyboard","USB","Asus Aura TUF Keyboard","0B05","18AA","","","✔️","✔️","✔️",""
"ASUS ROG AURA Terminal","Motherboard","USB","Asus Aura USB","0B05","1889","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"ASUS Aura Addressable","Motherboard","USB","Asus Aura USB","0B05","1867","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"ASUS Aura Addressable","Motherboard","USB","Asus Aura USB","0B05","1872","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"ASUS Aura Addressable","Motherboard","USB","Asus Aura USB","0B05","18A3","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"ASUS Aura Addressable","Motherboard","USB","Asus Aura USB","0B05","18A5","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"ASUS Aura Motherboard","Motherboard","USB","Asus Aura USB","0B05","18F3","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"ASUS Aura Motherboard","Motherboard","USB","Asus Aura USB","0B05","1939","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"ASUS Aura Motherboard","Motherboard","USB","Asus Aura USB","0B05","19AF","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"ASUS ROG Ally","Gamepad","USB","Asus ROG Ally","0B05","1ABE","","","❌","✔️","❌",""
"ASUS ROG Strix LC","Cooler","USB","Asus ROG Strix Liquid Cooler","0B05","879E","","","❌","✔️","✔️",""
"ASUS Cerberus Mech","Keyboard","USB","Asus Cerberus Mech Keyboard","195D","2047","","","🤖","❌","✔️",""
"ASUS ROG Strix Claw","Mouse","USB","Asus Strix Claw","195D","1016","","","🤖","❌","⚒️",""
"Cherry Keyboard MX BOARD 3.0S FL NBL","Keyboard","USB","Cherry Keyboard","046A","0077","","","🤖","🚨","✔️",""
"Cherry Keyboard MX BOARD 3.0S FL RGB","Keyboard","USB","Cherry Keyboard","046A","0079","","","🤖","🚨","✔️",""
"Cherry Keyboard MX BOARD 3.0S FL RGB KOREAN","Keyboard","USB","Cherry Keyboard","046A","0083","","","🤖","🚨","✔️",""
"Cherry Keyboard MX 1.0 FL BL","Keyboard","USB","Cherry Keyboard","046A","00AB","","","🤖","🚨","✔️",""
"Cherry Keyboard MX BOARD 1.0 TKL RGB","Keyboard","USB","Cherry Keyboard","046A","00AC","","","🤖","🚨","✔️",""
"Cherry Keyboard MX BOARD 8.0 TKL RGB","Keyboard","USB","Cherry Keyboard","046A","00B7","","","🤖","🚨","✔️",""
"Cherry Keyboard MX BOARD 10.0 FL RGB","Keyboard","USB","Cherry Keyboard","046A","00BB","","","🤖","🚨","✔️",""
"Cherry Keyboard G80-3000 TKL NBL","Keyboard","USB","Cherry Keyboard","046A","00C3","","","🤖","🚨","✔️",""
"Cherry Keyboard MX BOARD 2.0S FL RGB","Keyboard","USB","Cherry Keyboard","046A","00C4","","","🤖","🚨","✔️",""
"Cherry Keyboard G80-3000 TKL RGB","Keyboard","USB","Cherry Keyboard","046A","00C5","","","🤖","🚨","✔️",""
"Cherry Keyboard MV BOARD 3.0 FL RGB","Keyboard","USB","Cherry Keyboard","046A","00C7","","","🤖","🚨","✔️",""
"Cherry Keyboard CCF MX 8.0 TKL BL","Keyboard","USB","Cherry Keyboard","046A","00C9","","","🤖","🚨","✔️",""
"Cherry Keyboard CCF MX 1.0 TKL BL","Keyboard","USB","Cherry Keyboard","046A","00CA","","","🤖","🚨","✔️",""
"Cherry Keyboard CCF MX 1.0 TKL NBL","Keyboard","USB","Cherry Keyboard","046A","00CB","","","🤖","🚨","✔️",""
"Cherry Keyboard G80-3000 TKL NBL KOREAN","Keyboard","USB","Cherry Keyboard","046A","00CD","","","🤖","🚨","✔️",""
"Cherry Keyboard MX BOARD 2.0S FL NBL","Keyboard","USB","Cherry Keyboard","046A","00CE","","","🤖","🚨","✔️",""
"Cherry Keyboard MX 1.0 FL NBL","Keyboard","USB","Cherry Keyboard","046A","00D2","","","🤖","🚨","✔️",""
"Cherry Keyboard MX 1.0 FL RGB","Keyboard","USB","Cherry Keyboard","046A","00D3","","","🤖","🚨","✔️",""
"Cherry Keyboard G80-3000N TKL RGB","Keyboard","USB","Cherry Keyboard","046A","00DD","","","🤖","🚨","✔️",""
"Cherry Keyboard G80-3000N FL RGB","Keyboard","USB","Cherry Keyboard","046A","00DE","","","🤖","🚨","✔️",""
"Cherry Keyboard MX BOARD 10.0N FL RGB","Keyboard","USB","Cherry Keyboard","046A","00DF","","","🤖","🚨","✔️",""
"Cherry Keyboard MX BOARD 2.0S FL RGB DE","Keyboard","USB","Cherry Keyboard","046A","01A6","","","🤖","🚨","✔️",""
"iGame GeForce RTX 3060 Advanced OC 12G L-V","GPU","I2C","Colorful GPU","10DE","2504","7377","140A","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 3060 Ultra W OC 12G L-V","GPU","I2C","Colorful GPU","10DE","2504","7377","150A","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 3060 Ultra W OC 12G L-V","GPU","I2C","Colorful GPU","10DE","2504","7377","1501","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 3060 Ti Ultra W OC LHR-V","GPU","I2C","Colorful GPU","10DE","2489","7377","1501","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 3060 Ti Advanced OC-V","GPU","I2C","Colorful GPU","10DE","2489","7377","140A","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 3070 Advanced OC-V","GPU","I2C","Colorful GPU","10DE","2484","7377","140A","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 3070 Advanced OC-V","GPU","I2C","Colorful GPU","10DE","2484","7377","1401","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 3070 Ultra W OC LHR","GPU","I2C","Colorful GPU","10DE","2488","7377","150A","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 3070 Ti Ultra W OC LHR","GPU","I2C","Colorful GPU","10DE","2482","7377","1581","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 3070 Ti Advanced OC-V","GPU","I2C","Colorful GPU","10DE","2482","7377","1400","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 3080 Ti Advanced OC-V","GPU","I2C","Colorful GPU","10DE","2208","7377","1401","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 4070 Ti Advanced OC-V","GPU","I2C","Colorful GPU","10DE","2782","7377","1400","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 4080 Ultra W OC-V","GPU","I2C","Colorful GPU","10DE","2704","7377","1500","❌","✔️","❌","This card only supports direct mode"
"iGame GeForce RTX 2070 SUPER Advanced OC-V","GPU","I2C","Colorful GPU","10DE","1E84","7377","0X1401","❌","✔️","✔️","This card supports off, direct, rainbow and pulse mode."
"Cooler Master ARGB","LEDStrip","USB","Coolermaster ARGB","2516","1011","","","🤖","✔️","✔️","The Coolermaster ARGB device supports `Direct` mode from
firmware 0028 onwards. Check the serial number for the date
""A202105291658"" or newer."
"Cooler Master ARGB Gen 2 A1","LEDStrip","USB","Coolermaster ARGB","2516","0173","","","🤖","✔️","✔️","The Coolermaster ARGB device supports `Direct` mode from
firmware 0028 onwards. Check the serial number for the date
""A202105291658"" or newer."
"Cooler Master ARGB Gen 2 A1 V2","LEDStrip","USB","Coolermaster ARGB","2516","01C9","","","🤖","✔️","✔️","The Coolermaster ARGB device supports `Direct` mode from
firmware 0028 onwards. Check the serial number for the date
""A202105291658"" or newer."
"Cooler Master ARGB Gen 2 A1","LEDStrip","USB","Coolermaster ARGB A1","2516","0173","","","✔️","✔️","✔️","This device does not have Gen 2 support in OpenRGB yet.

Gen2 has auto-resize feature and parallel to serial magical stuff.<"
"Cooler Master ARGB Gen 2 A1 V2","LEDStrip","USB","Coolermaster ARGB A1","2516","01C9","","","✔️","✔️","✔️","This device does not have Gen 2 support in OpenRGB yet.

Gen2 has auto-resize feature and parallel to serial magical stuff.<"
"Cooler Master MasterKeys Pro L","Keyboard","USB","Coolermaster Masterkeys Keyboards","2516","003B","","","🤖","✔️","✔️",""
